name,aeroplane,bicycle,bird,boat,bottle,bus,car,chair,cow,diningtable,horse,motorbike,person,train
161,0,0,0,0,0,0,1,0,0,0,0,0,0,0
163,0,0,0,0,0,0,0,0,0,0,0,1,1,0
164,0,0,0,0,0,0,0,0,0,0,0,1,1,0
165,0,0,0,0,0,0,0,0,0,0,0,0,1,0
169,0,0,0,0,0,0,1,0,0,0,0,0,1,0
170,0,0,0,0,1,0,0,0,0,0,0,0,1,0
173,0,0,0,0,0,0,0,0,0,0,1,0,1,0
174,0,0,0,0,0,0,0,0,0,0,0,0,1,0
177,0,0,0,0,0,0,0,0,0,1,0,0,1,0
180,0,0,0,0,0,0,1,0,0,0,0,0,0,0
184,0,0,0,1,0,0,0,0,0,0,0,0,0,0
189,0,0,1,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,1,0,0,0,0,0,0,0,0
192,0,0,0,0,0,0,0,0,0,0,0,0,1,0
193,0,0,0,0,0,0,0,0,0,0,0,0,1,0
194,0,0,0,0,0,0,0,0,0,0,1,0,1,0
198,0,0,0,0,0,0,0,0,0,0,0,0,0,1
200,0,0,0,0,1,0,0,0,0,0,0,0,1,0
203,0,0,0,0,0,0,0,1,0,0,0,0,0,0
207,0,0,0,0,0,1,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,1,0
211,0,0,0,0,0,0,0,0,1,0,0,0,0,0
214,0,0,0,0,0,0,0,0,0,0,1,0,0,0
219,0,0,0,0,0,0,0,0,0,0,0,1,0,0
220,0,0,0,0,0,0,1,0,0,0,0,0,1,0
221,0,0,0,0,0,0,1,0,0,0,0,0,0,0
222,0,0,0,0,1,0,0,1,0,1,0,0,1,0
228,1,0,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,0,0,1,0,0,0,0,1,0,0,1,0
232,0,0,0,1,0,0,0,0,1,0,0,0,1,0
236,0,0,1,0,0,0,0,0,0,0,0,0,0,0
241,0,0,0,1,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,1,0,0,0,0,0,1,0
249,0,0,0,0,0,0,0,1,0,1,0,0,0,0
250,0,0,0,0,1,0,0,0,0,0,0,0,0,0
251,0,0,0,0,0,0,1,0,0,0,0,0,1,0
256,1,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0,1,0
262,0,0,0,0,0,0,1,0,0,0,0,0,0,0
263,0,0,0,0,0,0,1,0,0,0,0,0,0,0
268,1,0,0,0,0,0,0,0,0,0,0,0,0,0
269,0,0,0,0,1,0,0,0,0,0,0,0,1,0
270,0,0,0,0,0,0,0,0,0,0,0,0,0,1
275,0,0,0,0,0,0,0,0,0,0,1,0,1,0
276,0,0,0,0,0,0,0,0,0,0,0,0,1,0
282,0,0,0,0,0,0,0,0,0,0,0,0,1,0
285,0,0,0,0,0,0,0,1,0,0,0,0,1,0
288,0,0,0,0,0,1,1,0,0,0,0,0,1,0
289,0,0,0,0,0,0,1,0,0,0,0,0,0,0
294,0,0,1,0,0,0,0,0,0,0,0,0,0,0
296,0,0,0,1,0,0,1,0,0,0,0,0,0,0
298,0,0,0,0,0,0,0,0,0,0,0,0,1,0
302,0,0,0,0,0,0,1,0,0,0,0,1,1,0
303,0,0,0,0,0,0,1,0,0,0,0,0,0,0
305,0,1,0,0,0,0,0,0,0,0,0,0,1,0
306,0,0,0,0,0,0,0,0,1,0,0,0,0,0
308,0,0,0,0,0,0,0,0,0,1,0,0,1,0
311,0,0,0,0,0,0,1,0,0,0,0,0,0,0
312,0,0,0,0,0,0,0,0,0,0,0,0,0,1
317,0,0,0,0,0,0,1,0,0,0,0,0,0,0
318,0,0,0,0,0,0,1,0,0,0,0,0,0,0
320,0,0,0,0,0,0,1,0,0,0,0,0,1,0
321,0,0,0,0,0,0,0,0,0,0,0,0,1,0
322,0,0,0,0,0,0,0,0,0,0,0,0,1,0
323,0,0,0,0,0,0,0,0,0,0,0,0,1,0
325,1,0,0,0,0,0,0,0,0,0,0,0,0,0
328,0,0,0,0,0,0,0,0,0,0,1,0,1,0
329,0,0,0,0,0,0,1,0,0,0,0,0,0,0
331,0,0,0,0,0,0,0,1,0,0,0,0,1,0
332,0,0,0,0,0,0,0,0,0,0,1,0,0,0
334,0,0,0,0,0,0,1,0,0,0,0,0,0,0
337,0,1,0,0,0,0,0,0,0,0,0,0,1,0
338,0,0,0,0,0,0,1,0,0,0,0,0,1,0
340,0,0,1,0,0,0,0,0,0,0,0,0,0,0
343,0,0,0,0,0,0,1,0,0,0,0,0,0,0
344,0,0,0,0,1,0,0,0,0,0,0,0,0,0
347,0,0,0,0,0,0,0,0,0,0,1,0,0,0
352,0,0,0,0,0,0,0,0,0,0,0,0,1,0
355,0,0,0,0,0,0,1,0,0,0,0,0,0,0
363,0,0,1,0,0,0,0,0,0,0,0,0,0,0
367,0,0,0,0,1,0,1,0,0,0,0,0,1,0
370,0,0,0,1,0,0,0,0,0,0,0,0,0,0
372,0,0,0,0,0,0,0,0,0,0,1,0,1,0
373,0,0,0,0,0,0,1,0,0,0,0,0,0,0
374,0,0,0,0,0,0,0,0,0,0,0,1,1,0
379,0,1,0,0,0,0,0,0,0,0,0,0,0,0
380,0,1,0,0,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,1,0,0,0,0,1,0,0,0,0
382,0,0,0,1,0,0,0,0,0,0,0,0,1,0
387,0,0,0,0,0,0,1,0,0,0,0,0,0,0
394,0,0,0,0,0,0,0,0,0,1,0,0,1,0
395,0,0,1,0,0,0,0,0,0,0,0,0,0,0
396,0,0,0,0,0,0,1,0,0,0,0,0,0,0
404,0,0,0,0,0,0,1,0,0,0,0,0,0,0
406,0,0,0,0,0,0,1,0,0,0,0,0,0,0
407,0,0,0,0,0,0,0,0,0,0,1,0,1,0
408,0,0,0,0,0,0,0,0,1,0,0,0,0,0
411,0,0,0,0,0,0,0,0,0,0,0,0,1,0
417,0,0,0,0,0,0,0,0,1,0,0,0,0,0
419,0,0,0,0,0,0,0,0,0,0,0,1,1,0
420,0,0,0,0,0,0,1,0,0,0,0,0,0,0
424,0,0,1,0,0,0,0,0,0,0,0,0,0,0
427,0,0,0,0,0,0,0,0,0,0,0,1,0,0
428,0,0,0,0,0,0,0,1,0,1,0,0,1,0
431,1,0,0,0,0,0,1,0,0,0,0,0,0,0
433,0,0,0,0,0,0,0,1,0,0,0,0,1,0
435,0,0,0,0,0,0,0,0,0,0,1,0,1,0
438,0,0,0,0,0,0,0,0,0,0,0,0,1,0
439,0,0,0,0,0,0,0,0,0,0,0,0,0,1
446,0,0,0,0,0,0,0,0,0,0,0,0,1,0
448,0,0,0,0,0,0,0,0,0,1,0,0,1,0
450,0,0,0,0,0,0,0,0,0,0,0,0,0,1
459,0,0,0,0,0,0,0,0,0,1,0,0,0,0
460,0,0,0,0,0,0,0,1,0,0,0,0,0,0
461,0,0,0,0,0,0,1,0,0,0,0,0,0,0
462,0,0,0,0,0,0,0,0,1,0,0,0,0,0
463,0,0,0,0,0,0,0,0,0,0,0,1,1,0
464,0,0,0,0,0,0,0,0,1,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0,0,0,1,0
469,0,0,0,0,0,0,1,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,0,0,0,1,0,1,0
474,0,0,0,1,0,0,1,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,0,0,0,0,0,1,0
477,0,0,0,0,0,1,0,0,0,0,0,0,1,0
480,1,0,0,0,0,0,0,0,0,0,0,0,1,0
482,0,0,0,0,0,0,0,0,0,0,0,0,1,1
483,0,0,0,0,0,0,0,0,0,0,1,0,1,0
489,0,0,1,0,0,0,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,1,0,0,0,0,0
492,0,0,0,0,0,0,0,1,0,1,0,0,0,0
494,0,0,0,0,0,0,1,0,0,0,0,0,0,0
496,0,0,0,0,0,0,0,1,0,0,0,0,0,0
498,0,0,0,0,1,0,0,0,0,0,0,0,1,0
499,0,0,0,0,0,0,0,0,0,0,0,1,1,0
500,0,1,0,0,0,0,0,0,0,0,0,0,1,0
508,0,0,1,0,0,0,0,0,0,0,0,0,0,0
509,0,0,0,0,0,0,1,0,0,0,0,0,0,0
513,0,0,0,1,0,0,0,0,0,0,0,0,0,0
514,1,0,0,0,0,0,0,0,0,0,0,0,0,0
515,0,0,0,0,0,0,1,0,0,0,0,0,0,0
518,0,0,0,0,0,1,0,0,0,0,0,0,1,0
519,0,0,0,1,0,0,0,0,0,0,0,0,0,0
520,0,0,0,0,0,0,0,0,0,0,0,0,1,0
522,0,0,0,0,0,0,1,0,0,0,0,0,0,0
523,0,0,0,0,0,0,0,0,0,0,1,0,1,0
524,0,0,0,0,0,0,0,0,0,0,1,0,1,0
525,0,0,0,0,0,0,0,0,0,0,0,1,1,0
526,0,0,0,0,0,0,0,1,0,0,0,0,1,0
531,0,0,0,0,1,0,0,0,0,0,0,0,1,0
535,0,1,0,0,0,0,0,0,0,0,0,0,1,0
540,0,0,0,0,0,0,0,0,0,0,0,0,0,1
541,0,0,0,0,0,0,1,0,0,0,0,0,0,0
543,0,0,0,0,0,0,1,0,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0,0,0,1,0
550,0,0,0,0,0,0,0,1,0,1,0,0,0,0
552,1,0,0,0,0,0,0,0,0,0,0,0,0,0
563,0,0,0,1,0,0,0,0,0,0,0,0,0,0
564,0,0,0,0,1,0,0,1,0,1,0,0,0,0
565,0,1,0,0,0,0,0,0,0,0,0,0,0,0
577,0,0,0,0,0,0,0,0,0,0,1,0,0,0
579,0,0,0,0,0,0,1,0,0,0,0,1,1,0
583,0,0,0,0,0,0,0,0,0,0,0,1,0,0
589,0,0,0,0,0,0,0,0,0,0,0,0,1,0
590,0,0,0,0,0,0,1,0,0,0,0,0,0,0
591,0,0,0,0,0,0,0,1,0,1,0,0,1,0
605,0,0,0,0,0,0,1,0,0,0,0,0,0,0
608,0,0,0,1,0,0,0,0,0,0,0,0,0,0
610,1,0,0,0,0,0,0,0,0,0,0,0,0,0
612,0,0,0,0,0,0,0,0,0,0,0,0,1,1
613,0,0,0,0,0,0,0,1,0,1,0,0,1,0
619,0,0,1,0,0,0,0,0,0,0,0,0,0,0
620,0,0,0,0,0,0,1,0,0,0,0,0,0,0
622,0,0,0,0,0,0,0,0,1,0,0,0,0,0
625,0,0,0,0,0,0,0,0,0,0,0,0,1,0
635,0,0,0,0,0,0,0,0,0,0,0,0,0,1
637,0,1,0,0,0,0,0,0,0,0,0,0,0,0
645,0,0,1,0,0,0,0,0,0,0,0,0,0,0
647,1,0,0,0,0,0,0,0,0,0,0,0,0,0
648,0,0,0,0,0,1,0,0,0,0,0,0,0,0
653,0,0,0,0,0,0,1,0,0,0,0,0,0,0
657,1,0,0,0,0,0,0,0,0,0,0,0,0,0
663,0,0,0,0,0,1,1,0,0,0,0,0,0,0
667,0,0,0,0,0,0,0,0,0,0,1,0,0,0
671,0,1,0,0,0,0,0,0,0,0,0,0,0,0
672,0,0,0,0,0,0,1,0,0,0,0,0,0,0
675,0,0,0,0,0,0,0,0,0,0,0,0,0,1
677,0,0,0,0,0,0,0,0,0,0,0,0,1,0
680,0,0,1,0,0,0,0,0,0,0,0,0,0,0
682,0,0,1,0,0,0,0,0,0,0,0,0,0,0
684,0,0,0,0,1,0,0,0,0,0,0,0,1,0
685,0,0,0,0,0,0,0,0,0,0,0,1,0,0
686,0,0,0,0,0,0,0,0,0,0,0,1,0,0
688,0,0,0,0,0,0,1,0,0,0,0,0,1,0
689,0,0,0,0,0,0,0,0,0,0,0,0,0,1
694,0,0,0,0,0,0,0,0,0,0,0,0,1,0
695,0,0,0,0,0,0,0,0,0,0,1,0,1,0
700,0,0,0,0,0,0,1,0,0,0,0,0,0,0
702,0,0,0,0,0,0,0,0,0,0,1,0,1,0
709,0,0,0,0,0,0,0,1,0,0,0,0,1,0
712,0,0,0,0,0,0,0,0,0,0,0,0,0,1
713,0,0,0,1,0,0,0,0,0,0,0,0,0,0
714,0,0,1,0,0,0,0,0,0,0,0,0,0,0
717,0,0,0,0,0,0,0,1,0,0,0,0,1,0
726,0,0,0,0,1,0,0,0,0,0,0,0,1,0
728,0,0,0,0,0,0,0,0,1,0,0,0,0,0
730,1,0,0,0,0,0,0,0,0,0,0,0,0,0
731,0,0,1,0,0,0,0,0,0,0,0,0,1,0
733,0,0,0,0,0,0,0,0,0,0,0,1,1,0
738,1,0,0,0,0,0,0,0,0,0,0,0,0,0
739,0,0,0,0,0,0,0,0,0,0,0,0,1,0
740,0,0,0,1,0,0,0,0,0,0,0,0,0,0
742,0,0,0,1,0,0,0,0,0,0,0,0,1,0
748,0,0,0,0,0,1,0,0,0,0,0,0,0,0
750,0,0,0,0,0,0,0,0,0,0,0,0,1,0
752,0,0,0,0,0,0,0,0,0,0,0,0,1,0
753,0,0,0,0,1,0,0,0,0,1,0,0,1,0
754,0,1,0,0,0,1,0,0,0,0,0,0,0,0
755,0,1,0,0,0,0,0,0,0,0,0,0,0,0
760,0,0,0,0,0,0,0,0,0,0,1,0,1,0
763,1,0,0,0,0,0,0,0,0,0,0,0,0,0
764,0,0,0,0,0,0,0,0,0,0,1,0,0,0
767,0,0,0,0,0,0,0,0,1,0,0,0,0,0
768,0,0,0,0,0,1,0,0,0,0,0,0,0,0
770,0,1,0,0,0,0,0,0,1,0,0,1,1,0
771,0,0,0,0,0,0,0,1,0,0,0,0,0,0
774,0,0,0,0,0,0,0,0,0,0,0,0,0,1
776,0,0,0,0,0,0,1,0,0,0,0,0,0,0
782,0,0,0,0,0,1,0,0,0,0,0,0,1,0
786,0,0,0,0,0,0,0,0,1,0,0,0,0,0
787,0,0,0,0,0,0,1,0,0,0,0,0,0,0
791,0,0,0,0,0,0,0,0,0,0,0,0,0,1
793,0,1,0,0,0,1,0,0,0,0,0,0,1,0
796,0,0,1,0,0,0,0,0,0,0,0,0,0,0
799,0,0,0,0,0,0,0,0,0,0,1,0,1,0
800,0,0,0,0,0,0,1,0,0,0,0,0,0,0
802,0,1,0,0,0,0,0,0,0,0,0,0,1,0
806,0,0,0,0,0,0,0,0,0,0,0,0,1,0
808,0,0,0,0,0,0,0,0,1,0,0,0,0,0
810,0,0,0,0,0,0,0,0,0,0,0,0,1,0
812,0,1,0,0,0,0,0,0,0,0,0,0,1,0
814,0,0,0,0,0,0,0,0,0,0,0,0,1,0
815,1,0,0,0,0,0,0,0,0,0,0,0,0,0
816,0,1,0,0,0,0,0,0,0,0,0,0,1,0
818,0,0,0,0,0,0,1,0,0,0,0,0,0,1
822,0,0,0,0,0,0,0,0,0,0,0,1,0,0
823,0,0,0,0,0,0,1,0,0,0,0,0,0,0
826,0,0,0,1,0,0,0,0,0,0,0,0,0,0
827,0,0,0,0,0,0,0,0,1,0,0,0,0,0
828,0,0,0,0,0,0,0,0,0,0,0,0,1,0
829,0,0,0,0,0,1,1,0,0,0,0,0,1,0
830,0,0,0,0,0,0,0,1,0,1,0,0,0,0
831,0,0,0,0,0,0,0,0,0,0,0,0,0,1
832,0,0,1,0,0,0,0,0,0,0,0,0,0,0
834,0,0,0,0,0,0,0,0,1,0,0,0,1,0
845,1,0,0,0,0,0,0,0,0,0,0,0,0,0
847,0,0,0,0,0,0,0,0,0,1,0,0,1,0
848,0,0,0,0,0,0,0,1,0,0,0,0,1,0
850,0,0,1,0,0,0,0,0,0,0,0,0,0,0
851,0,0,0,0,0,0,0,0,0,0,0,1,1,0
855,0,0,0,0,0,1,1,0,0,0,0,0,0,0
859,0,0,0,0,0,0,0,0,0,0,0,0,1,0
860,0,0,0,0,0,0,1,0,0,0,0,0,1,0
862,0,0,0,1,0,0,0,0,0,0,0,0,0,0
863,0,0,0,0,0,0,0,0,0,0,0,0,0,1
865,0,0,0,0,0,0,0,1,0,1,0,0,1,0
871,0,0,0,0,0,0,1,0,0,0,0,0,0,0
872,1,0,0,0,0,0,0,0,0,0,0,0,0,0
874,0,0,0,0,0,0,0,0,0,0,0,0,1,0
878,0,1,0,0,0,0,0,0,0,0,0,0,1,0
879,0,0,0,0,0,0,0,0,0,0,1,0,1,0
880,0,0,1,0,0,0,0,0,1,0,0,0,0,0
885,0,0,0,0,0,0,0,0,0,0,0,0,1,0
887,1,0,0,0,0,0,0,0,0,0,0,0,0,0
888,0,0,0,0,0,0,1,0,0,0,0,0,0,0
892,0,0,0,0,0,0,0,0,0,0,0,1,1,0
895,0,0,0,0,0,0,0,0,0,0,0,0,1,0
896,1,0,0,0,0,0,0,0,0,0,0,0,0,0
899,0,0,0,0,0,0,0,0,0,0,0,0,0,1
903,0,0,0,0,0,0,0,1,0,0,0,0,1,0
904,0,0,0,0,0,0,0,0,1,0,0,0,1,0
906,0,0,0,1,0,0,1,0,0,0,0,0,1,0
908,1,0,0,0,0,0,0,0,0,0,0,0,0,0
911,0,1,0,0,0,1,1,0,0,0,0,0,1,0
915,0,0,0,0,0,0,0,0,0,1,0,0,1,0
918,0,0,0,0,0,0,0,0,0,0,0,0,1,0
920,0,0,0,0,0,0,0,0,0,0,0,0,1,1
926,0,0,0,0,0,0,0,0,0,0,0,0,1,0
929,0,0,0,0,1,0,0,0,0,1,0,0,0,0
931,0,0,0,1,0,0,0,0,0,0,0,0,0,0
934,1,0,0,0,0,0,0,0,0,0,0,0,0,0
935,0,0,0,0,0,0,1,0,0,0,0,0,0,0
936,1,0,0,0,0,0,0,0,0,0,0,0,0,0
937,0,0,0,0,0,0,1,0,0,0,0,0,0,0
943,0,0,0,0,0,0,0,1,0,0,0,0,1,0
946,0,0,0,0,0,0,0,0,0,0,0,0,0,1
949,0,1,0,0,0,0,0,0,0,0,0,0,1,0
950,0,0,0,0,0,0,0,0,0,1,0,0,0,0
951,0,0,0,0,1,0,0,0,0,0,0,0,0,0
954,0,0,1,0,0,0,0,0,0,0,0,0,0,0
964,0,0,1,0,0,0,0,0,0,0,0,0,0,0
966,0,0,0,0,0,0,0,0,0,0,0,0,0,1
967,0,0,0,0,0,0,0,0,0,0,0,0,1,1
971,0,0,0,0,0,1,0,0,0,0,0,0,1,0
972,0,0,0,0,0,0,1,0,0,0,0,0,0,0
973,0,1,0,0,0,0,0,0,0,0,0,0,0,0
977,0,0,0,0,0,0,1,0,0,0,0,0,0,0
980,0,0,1,0,0,0,0,0,0,0,0,0,0,0
982,1,0,0,0,0,0,0,0,0,0,0,0,0,0
987,0,0,0,0,0,0,0,0,0,0,0,1,1,0
991,0,0,0,0,0,0,0,0,0,0,1,0,1,0
993,0,0,0,0,0,0,0,0,0,0,0,0,0,1
996,0,0,0,0,0,0,0,1,0,1,0,0,1,0
999,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1002,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1004,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1008,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1012,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1015,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1017,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1028,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1036,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1041,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1045,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1050,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1052,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1057,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1060,0,1,0,0,0,0,1,0,0,0,0,0,1,0
1061,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1064,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1066,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1068,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1069,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1071,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1073,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1074,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1083,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1084,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1093,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1097,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1101,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1102,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1107,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1113,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1119,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1121,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1124,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1125,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1130,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1136,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1137,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1143,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1144,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1147,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1148,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1152,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1158,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1160,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1161,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1168,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1170,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1171,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1172,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1174,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1176,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1182,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1184,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1186,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1194,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1199,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1200,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1201,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1205,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1207,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1215,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1221,0,0,0,0,0,0,0,0,0,0,0,0,1,1
1224,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1229,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1230,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1236,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1237,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1240,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1241,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1247,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1248,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1250,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1254,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1258,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1259,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1260,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1263,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1265,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1266,0,0,0,0,0,0,0,0,0,0,0,1,1,0
1268,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1269,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1270,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1272,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1273,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1277,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1279,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1281,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1284,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1286,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1287,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1288,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1289,0,0,1,0,0,0,0,0,0,0,0,0,0,0
