name,cat,dog,pottedplant,sheep,sofa,tvmonitor
1110,1,0,0,0,0,0
1127,0,1,0,0,0,0
1142,0,0,1,0,0,0
1149,0,0,1,0,1,1
1154,0,0,1,0,1,0
1156,1,0,0,0,0,0
1166,0,0,0,0,0,1
1191,0,0,0,1,0,0
1192,0,1,0,0,0,0
1203,0,1,0,0,0,0
1204,0,0,0,0,1,0
1209,0,1,0,0,0,0
1211,1,1,0,0,0,0
1225,0,1,0,0,0,0
1226,0,1,0,0,0,0
1233,1,0,0,0,0,0
1239,0,1,0,0,0,0
1274,1,0,0,0,0,0
1293,0,1,0,0,0,0
1314,1,0,0,0,0,0
1316,0,1,0,0,0,0
1324,0,1,0,0,0,0
1326,0,0,0,0,1,0
1387,1,0,0,0,0,0
1395,1,0,0,0,0,0
1397,0,1,0,0,0,0
1404,1,0,0,0,0,0
1418,0,1,0,0,0,0
1464,0,0,1,0,0,0
1467,0,1,0,0,0,0
1470,0,0,0,0,0,1
1486,1,0,0,0,0,0
1517,0,1,0,0,0,0
1541,1,0,0,0,0,0
1543,0,0,0,0,1,1
1555,1,0,0,0,0,0
1582,1,0,0,0,0,0
1588,0,0,0,0,1,1
1598,0,0,0,1,0,0
1607,0,1,0,0,0,0
1610,1,0,0,0,0,0
1642,0,1,0,0,0,0
1643,0,1,0,0,0,0
1661,0,0,0,1,0,0
1669,1,0,0,0,0,0
1675,0,1,0,0,0,0
1680,0,1,0,0,0,0
1714,0,0,0,1,0,0
1718,0,1,0,0,0,0
1733,0,0,0,1,0,0
1734,0,0,0,1,0,0
1738,0,1,0,0,0,0
1747,1,0,0,0,0,0
1750,0,0,0,1,0,0
1752,0,0,0,0,0,1
1755,1,0,0,0,0,0
1768,1,0,0,0,0,0
1778,0,1,0,0,0,0
1816,1,0,0,0,0,0
1825,1,0,0,0,0,0
1827,0,0,0,0,0,1
1840,1,0,0,0,0,0
1872,0,0,0,1,0,0
1875,0,0,0,0,0,1
1878,0,0,0,0,1,0
1888,1,0,0,0,0,0
1898,0,0,1,0,0,0
1906,1,0,0,0,0,0
1934,1,0,0,0,0,0
1940,1,1,0,0,0,0
1971,1,0,0,0,0,0
1972,0,1,0,0,0,0
1981,1,0,0,0,0,0
1982,1,0,0,0,0,0
1985,0,1,0,0,0,0
2004,0,0,0,0,0,1
2006,1,0,0,0,0,0
2011,0,1,0,0,0,0
2015,0,0,1,0,0,0
2034,1,1,0,0,0,0
2047,0,0,0,0,1,0
2049,0,0,1,0,0,0
2058,1,0,0,0,0,0
2067,1,0,0,0,0,0
2070,0,0,0,0,1,0
2086,0,0,0,0,0,1
2095,1,0,0,0,0,0
2101,0,1,0,0,0,0
2109,1,0,0,0,0,0
2132,0,0,0,0,0,1
2140,0,1,0,0,0,0
2146,0,1,0,0,0,0
2151,1,0,0,0,0,0
2179,0,0,1,0,0,0
2184,0,1,0,0,0,0
2192,0,0,1,0,0,0
2196,1,0,0,0,0,0
2199,0,1,0,0,0,0
2202,1,0,0,0,0,0
2209,0,0,0,1,0,0
2215,1,0,0,0,0,0
2251,0,0,0,0,1,0
2259,0,0,0,0,1,0
2263,0,0,0,1,0,0
2267,0,0,0,1,0,0
2268,1,1,0,0,1,0
2280,0,0,0,0,0,1
2284,0,0,1,0,0,0
2315,0,1,0,0,0,0
2320,0,0,1,0,0,0
2328,0,0,0,0,0,1
2330,0,0,0,1,0,0
2335,0,0,0,0,1,0
2345,0,1,0,0,0,0
2347,0,0,1,0,0,0
2359,0,1,0,0,0,0
2364,0,1,0,0,0,0
2375,1,0,0,0,0,0
2391,1,0,0,0,0,0
2407,1,0,0,0,0,0
2415,0,1,0,0,0,0
2427,0,0,0,0,1,0
2437,1,0,0,0,0,0
2441,1,0,0,0,0,1
2445,1,0,0,0,0,0
2452,0,0,0,1,0,0
2461,1,0,0,0,0,0
2466,0,1,0,0,0,0
2470,1,0,0,0,0,0
2480,1,0,0,0,0,0
2537,0,1,0,0,0,0
2546,0,1,0,0,0,0
2549,0,0,0,0,0,1
2569,0,0,1,0,0,0
2578,0,1,0,0,0,0
2593,0,0,0,1,0,0
2594,0,0,1,0,0,0
2598,0,0,1,0,0,0
2609,0,1,0,0,0,0
2615,0,0,0,1,0,0
2618,0,0,0,1,0,0
2648,0,0,0,1,0,0
2670,0,1,0,0,0,0
2677,1,0,0,0,0,0
2680,0,1,0,0,0,0
2683,0,0,0,1,0,0
2690,0,1,0,0,0,0
2696,0,1,0,0,0,0
2697,0,1,0,0,0,0
2706,1,0,0,0,0,0
2732,0,1,0,0,0,0
2760,1,0,0,0,0,0
2766,1,0,0,0,0,0
2775,0,0,1,0,0,0
2784,0,1,0,0,0,0
2785,1,0,0,0,0,0
2796,1,0,0,0,0,0
2810,0,1,0,0,0,0
2817,0,0,1,0,0,0
2820,0,0,1,0,0,0
2845,0,0,0,1,0,0
2875,0,1,0,0,0,0
2880,0,1,0,0,0,0
2901,0,0,0,0,0,1
2924,1,0,1,0,0,0
2934,1,0,0,0,0,0
2944,1,0,0,0,0,0
2946,0,0,1,0,0,0
2952,1,0,0,0,0,1
2963,0,0,0,1,0,0
2966,0,1,0,0,0,0
2967,0,0,1,0,0,0
2977,0,1,0,0,0,0
2986,0,0,0,1,0,0
2995,1,0,0,0,0,0
3005,0,0,0,0,1,1
3011,0,0,0,0,1,1
3031,1,0,0,0,0,0
3045,1,0,0,0,0,0
3085,1,0,0,0,0,0
3093,0,0,1,0,0,0
3110,0,1,0,0,0,0
3127,1,0,0,0,0,0
3146,0,0,1,0,0,0
3157,0,0,0,0,0,1
3161,0,1,0,1,0,0
3169,1,0,0,0,0,0
3177,0,1,0,0,0,0
3184,1,0,0,0,0,0
3194,0,1,0,0,0,0
3204,0,0,0,0,0,1
3211,0,0,1,0,0,0
3216,0,1,0,0,0,0
3255,0,0,0,0,1,0
3258,0,0,0,0,1,1
3272,1,0,0,0,0,0
3274,0,1,0,0,0,0
3279,0,0,0,0,1,0
3293,0,1,0,0,0,0
3325,0,1,0,0,0,0
3339,0,1,0,0,0,0
3343,0,1,0,0,0,0
3351,1,0,0,0,0,0
3356,0,0,0,0,0,1
3374,0,1,1,0,0,1
3392,1,0,0,0,0,0
3398,0,0,0,0,0,1
3408,0,0,0,0,1,0
3415,1,0,0,0,0,0
3419,0,0,1,0,0,0
3425,0,1,0,0,0,0
3430,0,1,0,0,0,0
3443,0,1,0,0,0,0
3444,0,0,0,0,1,0
3489,0,1,0,0,0,0
3491,0,1,0,0,0,0
3500,1,0,0,0,0,0
3506,0,0,1,0,0,0
3508,0,1,0,0,0,0
3509,0,0,1,0,0,0
3522,1,0,0,0,0,0
3525,1,0,0,0,0,0
3536,0,1,0,0,0,0
3546,1,0,0,0,0,0
3586,1,0,0,0,0,0
3593,0,0,0,1,0,0
3604,0,1,0,0,0,1
3620,1,0,0,0,0,0
3622,0,0,1,0,0,0
3627,0,1,0,0,0,0
3629,0,0,1,0,0,0
3632,0,1,0,0,0,0
3656,1,0,0,0,0,0
3660,0,0,0,0,0,1
3671,0,1,0,0,0,0
3673,0,1,0,0,0,0
3674,1,0,0,0,0,0
3681,0,1,0,1,0,0
3698,0,0,0,1,0,0
3705,0,0,0,1,0,0
3714,0,0,0,1,0,0
3743,0,0,0,0,1,0
3753,0,1,0,0,0,0
3758,0,0,1,0,0,0
3763,1,0,0,0,0,0
3774,0,1,0,0,0,0
3792,0,1,0,0,0,0
3793,1,0,0,0,0,0
3796,0,0,1,0,0,0
3807,1,0,0,0,0,0
3808,0,0,0,0,0,1
3814,1,0,0,0,0,0
3821,0,1,0,0,0,0
3834,0,0,1,0,0,0
3844,1,0,0,0,0,0
3845,0,0,0,0,1,0
3846,0,1,0,0,0,0
3872,0,1,0,0,0,0
3874,0,0,0,1,0,0
3890,1,0,0,0,0,0
3911,0,0,0,0,0,1
3912,1,0,0,0,0,0
3921,0,1,0,0,0,0
3924,0,0,1,0,0,0
3935,0,1,0,0,0,0
3937,1,0,0,0,0,0
3956,0,0,1,0,0,0
3983,0,0,0,0,0,1
3984,1,0,0,0,0,0
3990,0,1,0,0,0,0
3991,1,0,0,0,0,0
4008,0,1,0,0,0,0
4015,0,1,0,0,0,0
4016,1,0,0,0,0,0
4034,0,1,0,0,0,0
4035,1,1,0,0,0,0
4037,0,0,1,0,0,0
4066,0,0,0,0,1,0
4076,1,0,0,0,0,0
4095,0,1,0,0,0,0
4100,0,0,0,0,0,1
4113,0,1,0,0,0,0
4129,1,0,0,0,0,0
4148,0,0,0,0,0,1
4150,1,0,0,0,0,1
4163,0,0,0,0,0,1
4178,0,1,0,0,0,0
4185,1,0,0,0,0,0
4189,0,1,0,0,0,0
4190,0,0,0,0,0,1
4192,0,0,0,0,0,1
4212,1,0,1,0,0,0
4239,0,0,0,1,0,0
4264,0,1,0,0,0,0
4272,0,1,0,0,0,0
4274,0,0,1,0,0,1
4293,0,1,0,0,0,0
4312,0,0,0,1,0,0
4318,0,1,0,0,0,0
4331,0,0,0,0,0,1
4341,0,0,0,0,0,1
4345,1,0,0,0,0,0
4352,0,1,0,0,0,0
4369,0,0,0,0,1,0
4376,1,0,0,0,0,0
4409,0,1,0,0,0,0
4423,0,0,0,1,0,0
4432,1,0,0,0,0,0
4434,0,1,0,0,0,0
4446,1,0,1,0,0,0
4455,1,0,1,0,0,0
4490,0,0,0,1,0,0
4502,1,0,0,0,0,0
4514,0,0,0,0,0,1
4527,0,0,0,1,0,0
4540,0,0,0,0,1,0
4548,0,1,0,0,0,0
4551,0,1,0,0,0,0
4558,0,0,1,0,0,0
4565,0,1,0,0,0,0
4566,1,0,0,0,0,0
4584,0,0,0,0,1,0
4587,0,1,0,0,0,0
4600,1,0,0,0,0,0
4628,1,0,0,0,0,0
4632,0,1,0,0,0,0
4644,0,1,0,0,0,0
4652,0,0,0,0,0,1
4682,0,0,1,0,0,0
4683,1,0,0,0,0,0
4708,1,0,0,0,1,0
4737,0,1,0,0,0,0
4743,1,0,0,0,0,0
4754,0,0,0,0,0,1
4768,0,0,0,1,0,0
4777,0,1,0,0,0,0
4792,1,0,0,0,0,0
4814,1,0,0,0,0,0
4816,0,1,0,0,0,0
4825,0,0,1,0,0,0
4842,0,0,0,1,0,0
4856,1,0,0,0,0,0
4866,1,0,0,0,0,0
4878,1,0,0,0,0,0
4895,0,0,1,0,0,0
4907,1,0,0,0,0,0
4929,0,1,0,0,0,0
4938,0,0,0,0,1,0
4948,0,0,1,0,0,0
4955,1,0,0,0,0,1
4960,0,0,1,0,0,0
4963,1,0,0,0,0,0
4977,0,1,0,0,0,0
4985,1,0,0,0,0,0
4992,0,1,0,0,0,0
4998,1,0,0,0,0,0
4999,0,1,0,0,0,0
5001,0,0,0,1,0,0
5004,0,0,0,0,1,0
5007,0,0,0,0,0,1
5018,0,1,0,0,0,0
5056,0,1,0,0,0,0
5058,0,0,0,1,0,0
5062,0,1,0,0,0,0
5078,1,0,0,0,0,0
5104,1,0,0,0,1,1
5121,0,1,0,0,0,0
5131,1,0,0,0,0,0
5143,0,0,1,0,0,0
5145,0,0,1,0,0,0
5177,0,0,0,0,1,0
5179,0,0,0,0,1,0
5183,1,0,1,0,0,0
5185,0,1,0,0,1,0
5203,0,1,0,0,1,0
5210,0,0,0,0,0,1
5223,0,0,0,1,0,0
5224,0,0,1,0,0,0
5254,0,1,0,0,0,0
5263,0,0,0,0,1,0
5270,1,0,0,0,0,0
5288,0,0,0,1,0,0
5292,0,0,0,0,1,0
5293,0,1,0,0,0,0
5312,1,0,0,0,0,0
5319,0,0,0,1,0,0
5352,0,1,0,0,0,0
5363,0,0,0,1,0,0
5365,0,1,0,0,0,0
5379,0,1,0,0,0,0
5395,0,0,0,1,0,0
5408,0,1,0,0,0,0
5416,0,1,0,0,0,0
5433,0,1,0,0,1,0
5445,1,0,0,0,0,0
5455,1,0,0,0,0,0
5469,0,0,0,1,0,0
5470,1,0,0,0,0,0
5497,0,1,0,0,0,0
5510,0,0,0,0,1,0
5515,0,0,1,0,0,0
5518,0,1,0,0,0,0
5519,1,0,0,0,0,0
5524,0,1,0,0,0,0
5535,0,1,0,0,0,0
5539,1,0,0,0,0,0
5559,1,0,0,0,0,0
5579,1,0,0,0,0,0
5586,1,0,0,0,0,0
5590,1,0,0,0,0,0
5601,0,1,0,0,0,0
5630,1,0,0,0,0,0
5641,0,1,1,0,0,0
5668,0,1,0,0,0,0
5676,0,0,1,0,0,0
5696,0,1,0,0,0,0
5715,1,0,0,0,0,0
5743,0,1,0,0,0,0
5752,0,1,0,0,0,0
5755,0,0,0,0,1,0
5762,0,0,1,0,0,0
5769,1,0,0,0,0,0
5779,0,1,0,0,0,0
5789,0,1,0,0,0,0
5812,0,1,0,0,0,0
5813,0,0,1,0,0,0
5817,0,0,1,0,0,0
5819,1,0,0,0,0,0
5838,1,0,0,0,0,0
5850,1,0,0,0,0,0
5864,0,0,0,0,1,0
5874,0,0,1,0,1,0
5879,1,0,0,0,0,0
5888,0,1,0,0,0,0
5894,0,0,1,0,0,0
5901,1,0,0,0,0,0
5947,0,0,0,1,0,0
5954,1,0,0,0,0,0
5960,1,0,0,0,0,0
5964,0,0,0,1,0,0
5968,0,1,0,0,0,0
5970,1,0,0,0,0,0
5980,1,0,0,0,0,0
6020,0,0,0,0,1,0
6026,1,1,0,0,0,0
6042,0,1,0,0,0,0
6065,0,1,0,0,0,0
6069,1,0,1,0,0,0
6074,0,0,0,0,0,1
6084,1,0,0,0,0,0
6105,1,0,0,0,0,0
6125,1,0,0,0,0,0
6131,0,0,0,0,0,1
6136,0,0,0,1,0,0
6139,0,1,0,0,0,0
6159,0,0,1,0,0,0
6174,0,1,0,0,0,0
6183,1,0,0,0,0,0
6190,0,1,0,0,0,0
6219,0,1,0,0,0,0
6230,0,1,0,0,0,0
6234,1,0,0,0,0,0
6247,0,0,0,1,0,0
6251,0,0,0,1,0,0
6252,0,1,0,0,0,0
6260,1,0,0,0,0,0
6262,1,0,0,0,0,0
6267,0,1,0,0,0,0
6269,1,0,0,0,0,0
6305,1,0,0,0,0,0
6314,0,0,0,0,0,1
6318,1,0,0,0,0,0
6319,0,0,1,0,0,0
6321,0,1,0,0,0,0
6323,0,0,0,0,0,1
6337,0,1,0,0,0,0
6353,1,0,0,0,0,0
6366,0,1,0,0,0,0
6385,0,1,0,0,0,0
6411,0,0,0,0,0,1
6425,1,0,0,0,0,0
6434,0,1,0,0,0,0
6456,0,1,0,0,0,0
6462,1,0,0,0,0,0
6472,0,0,0,0,0,1
6473,1,0,0,0,0,1
6474,0,1,0,0,0,0
6495,1,0,0,0,0,0
6507,0,1,0,0,0,0
6512,1,0,0,0,0,0
6534,0,0,0,1,0,0
6547,1,0,0,0,0,0
6556,0,1,0,0,0,0
6565,1,0,0,0,0,0
6570,0,1,0,0,0,0
6575,0,0,1,0,0,0
6595,1,0,0,0,0,0
6597,0,1,0,0,0,0
6606,0,1,0,0,0,0
6622,0,0,0,0,1,1
6638,0,0,0,0,1,0
6657,1,0,0,0,0,0
6674,1,0,0,0,0,0
6678,0,0,0,1,0,0
6679,0,0,0,1,0,0
6681,0,0,1,0,0,0
6684,0,0,0,0,0,1
6704,0,0,0,0,0,1
6725,1,0,0,0,0,0
6726,0,0,1,0,0,0
6735,0,1,0,0,0,0
6740,1,0,0,0,0,0
6760,1,0,0,0,0,1
6765,0,0,1,0,0,0
6781,1,0,0,0,0,0
6805,0,1,0,0,0,0
6806,0,0,1,0,0,0
6813,1,0,0,0,0,0
6814,0,0,0,0,0,1
6827,0,0,0,0,1,0
6829,0,1,0,0,0,0
6842,0,0,0,0,0,1
6849,0,1,0,0,0,0
6859,0,0,1,0,0,0
6869,1,0,0,0,0,0
6878,0,0,0,0,1,0
6883,1,0,0,0,0,0
6899,0,0,0,1,0,0
6916,0,1,0,0,0,0
6930,0,0,0,0,1,0
6940,0,1,0,0,0,0
6944,0,0,0,1,0,0
6947,0,0,0,0,0,1
6949,1,0,0,0,0,0
6962,0,1,0,0,0,0
6971,1,0,0,0,0,0
6994,0,1,0,0,0,0
7011,0,1,0,0,0,0
7025,1,0,0,0,0,0
7038,1,0,0,0,0,0
7039,0,0,0,0,0,1
7050,1,0,0,0,0,0
7070,0,1,0,0,0,0
7071,1,0,0,0,0,0
7089,0,1,0,0,0,0
7100,0,0,0,0,0,1
7105,0,0,0,0,1,0
7113,0,0,0,0,0,1
7130,0,0,1,0,0,1
7149,0,1,0,0,0,0
7162,0,0,0,0,1,0
7165,0,0,0,1,0,0
7166,0,1,0,0,0,1
7180,0,0,1,0,0,0
7193,0,0,0,0,1,0
7197,1,0,0,0,0,0
7204,1,0,0,0,0,0
7210,0,0,0,0,0,1
7212,0,1,0,0,0,0
7217,0,0,0,1,0,0
7223,1,0,0,0,0,0
7230,0,0,0,1,0,0
7245,0,1,0,0,0,0
7249,1,0,0,0,0,0
7258,0,0,0,0,1,0
7275,0,0,0,0,1,0
7295,1,0,0,0,0,0
7302,0,0,1,0,1,0
7322,0,1,0,0,0,0
7329,1,0,0,0,0,0
7334,1,0,0,0,0,0
7343,1,0,0,0,0,0
7344,1,0,1,0,0,0
7385,0,0,0,0,1,0
7394,0,0,0,0,0,1
7396,0,0,1,0,0,0
7411,0,1,0,0,0,0
7417,1,1,0,0,0,0
7419,1,0,0,0,0,0
7425,0,0,0,0,1,0
7433,0,1,0,0,0,0
7451,0,0,1,0,0,0
7454,1,0,0,0,0,0
7465,0,0,0,0,0,1
7474,0,1,0,0,0,0
7489,0,1,0,0,0,0
7491,0,0,0,0,1,0
7506,0,0,0,0,0,1
7517,1,0,0,0,0,0
7519,0,0,1,0,0,0
7524,1,0,0,0,0,0
7536,0,0,0,0,1,0
7537,0,1,0,0,0,0
7565,1,0,0,0,0,0
7585,0,1,0,0,0,0
7600,0,0,1,0,0,0
7612,0,1,0,0,0,0
7621,0,0,0,1,0,0
7624,0,0,1,0,0,0
7640,1,0,0,0,0,0
7672,0,0,0,0,1,0
7682,1,0,0,0,0,0
7692,0,1,0,0,0,0
7702,0,0,0,0,0,1
7704,0,0,1,0,1,0
7715,0,0,1,0,0,0
7729,0,0,0,0,0,1
7749,0,1,0,0,0,0
7753,1,0,0,0,0,0
7758,1,0,0,0,0,0
7775,0,1,0,0,0,0
7781,0,0,1,0,0,0
7791,0,1,0,0,0,0
7824,1,0,0,0,0,0
7834,0,1,0,0,0,0
7838,0,1,0,0,0,0
7859,0,0,0,1,0,0
7863,1,0,0,0,0,0
7868,1,0,0,0,0,0
7873,0,0,0,0,1,0
7878,1,0,0,0,0,0
7885,1,0,0,0,0,0
7890,0,0,1,0,0,0
7900,0,1,0,0,0,0
7935,0,1,0,0,0,0
7954,0,1,0,0,0,0
7958,1,0,0,0,0,0
7968,0,1,0,0,0,0
7974,1,0,0,0,0,0
7999,0,0,1,0,1,1
8009,0,1,0,0,0,0
8012,0,0,1,0,0,0
8029,0,0,1,0,0,0
8036,0,1,0,0,0,0
8049,0,0,0,0,0,1
8064,0,0,1,0,0,0
8067,0,0,0,0,0,1
8075,0,1,0,0,0,0
8100,1,0,0,0,0,0
8115,0,1,0,0,0,0
8116,0,0,0,1,0,0
8121,0,0,0,0,0,1
8140,0,0,1,0,0,0
8150,0,0,0,1,0,0
8186,0,1,0,0,0,0
8203,0,0,0,0,1,0
8222,0,1,0,0,0,0
8223,0,0,0,1,0,0
8254,1,0,0,0,0,0
8258,1,0,0,0,0,0
8260,0,1,0,0,0,0
8269,1,0,0,0,0,0
8282,0,0,0,0,1,1
8292,0,0,0,1,0,0
8318,0,0,1,0,0,0
8322,0,1,0,0,0,0
8323,0,0,0,0,1,0
8346,0,1,0,0,0,0
8349,0,0,0,1,0,0
8355,1,0,0,0,0,0
8365,0,0,0,0,1,1
8403,1,0,0,0,0,0
8409,0,0,0,0,1,0
8415,0,1,0,0,0,0
8416,0,1,0,0,0,0
8422,0,0,0,0,0,1
8424,0,0,1,0,0,0
8425,0,1,0,0,0,0
8442,1,0,0,0,0,0
8465,0,0,1,0,0,0
8477,0,1,0,0,0,0
8499,0,0,0,0,1,0
8512,0,1,0,0,0,0
8518,0,1,0,0,0,0
8521,1,0,0,0,0,0
8530,0,1,0,0,0,0
8533,1,0,0,0,0,0
8534,1,0,0,0,0,0
8536,0,0,1,0,0,0
8557,0,0,1,0,1,1
8558,0,1,0,0,0,0
8606,0,1,0,0,0,0
8620,0,1,0,0,0,0
8639,0,1,0,0,0,0
8687,0,1,0,0,0,0
8688,0,0,1,0,0,0
8709,0,0,0,0,0,1
8713,0,0,0,0,1,0
8720,1,0,0,0,0,0
8749,0,0,1,0,0,0
8756,1,0,0,0,0,0
8772,1,0,0,0,0,0
8806,0,0,1,0,0,0
8809,1,0,0,0,0,0
8815,1,0,0,0,0,0
8819,0,1,0,0,0,0
8822,0,1,0,0,0,0
8823,0,0,0,0,1,0
8835,0,0,1,0,0,0
8837,0,0,0,0,0,1
8840,0,1,0,0,0,0
8849,0,1,0,0,1,0
8854,1,0,0,0,0,0
8856,1,0,0,0,0,0
8871,0,0,0,1,0,0
8880,1,0,0,0,0,0
8885,1,0,0,0,0,0
8890,0,1,0,0,0,0
8913,0,0,0,0,0,1
8917,1,0,0,0,0,0
8930,1,0,0,0,0,0
8933,1,0,1,0,0,0
8942,0,0,0,1,0,0
8951,0,1,0,0,0,0
8955,0,0,0,0,0,1
8970,0,0,1,0,0,1
8976,1,0,0,0,0,0
8980,0,1,0,0,0,0
8987,0,0,1,0,1,0
9019,0,1,0,0,0,0
9032,0,0,1,0,0,1
9035,1,0,0,0,0,0
9042,0,1,0,0,0,0
9066,0,1,0,0,0,0
9094,0,0,0,0,0,1
9098,1,0,0,0,0,0
9112,0,1,0,0,0,0
9117,0,1,0,0,0,0
9129,0,0,0,0,1,0
9147,1,0,0,0,0,0
9155,0,0,0,0,0,1
9168,0,1,0,0,0,0
9173,0,0,0,0,0,1
9175,1,0,1,0,0,0
9181,0,0,1,0,0,0
9185,0,1,0,0,0,0
9192,0,0,0,0,0,1
9194,0,0,1,0,0,0
9195,0,1,0,0,0,0
9196,0,0,0,0,0,1
9212,0,1,0,0,0,0
9215,0,0,1,0,0,0
9221,1,0,0,0,0,0
9227,0,1,0,1,0,0
9244,1,0,0,0,0,0
9252,0,0,1,0,1,0
9268,0,1,0,0,0,0
9271,0,0,0,1,0,0
9285,1,0,0,0,0,0
9325,0,0,0,0,0,1
9333,0,1,0,0,0,1
9373,0,0,0,0,0,1
9378,1,0,0,0,0,0
9398,1,0,0,0,0,0
9405,0,1,0,0,0,0
9417,0,0,0,1,0,0
9419,0,0,1,0,0,0
9443,0,0,1,0,0,0
9445,0,0,0,0,0,1
9446,0,0,0,0,0,1
9455,1,0,0,0,0,0
9464,1,0,0,0,0,0
9470,1,0,0,0,1,0
9484,0,0,0,0,0,1
9491,0,0,1,0,1,0
9502,0,1,0,0,0,0
9516,1,0,0,0,0,0
9519,0,0,1,0,0,0
9528,1,0,0,0,0,0
9549,1,0,0,0,0,0
9560,1,0,0,0,0,0
9562,0,1,0,0,0,0
9576,0,0,0,0,0,1
9584,1,0,0,0,0,0
9587,0,1,0,0,0,0
9605,0,1,0,0,0,0
9619,0,1,0,0,0,0
9634,0,0,1,0,0,0
9658,1,0,0,0,0,0
9670,1,0,0,0,0,0
9686,0,0,1,0,0,0
9700,0,0,0,1,0,0
9707,1,0,0,0,0,0
9724,1,0,0,0,0,0
9737,0,0,0,0,1,0
9743,1,0,0,0,0,0
9748,0,1,0,0,0,0
9763,1,1,0,0,0,0
9772,1,0,0,0,0,0
9794,1,0,0,0,0,0
9797,0,1,0,0,0,0
9805,1,0,0,0,0,0
9816,0,0,0,1,0,0
9823,0,1,0,0,0,0
9842,0,0,0,1,0,0
9852,1,0,0,0,0,0
9867,0,0,0,0,0,1
9870,0,1,0,0,0,0
9884,0,0,1,0,0,0
9886,1,0,0,0,0,0
9887,0,0,1,0,0,0
9896,1,0,0,0,0,0
9923,1,0,0,0,0,0
9939,0,0,0,0,1,0
9945,0,0,0,1,0,0
9961,0,1,0,0,0,0
